,title,artist,lyric
14,"4월 바다 (Feat. 김덕호, 정현숙)",박정환,"다시 꽃이 피고 세월은 흘러가건만
바다에 가라앉은 별은 떠오르지 않았다

눈물로 피맺힌 이들 가슴에 서러움을 새기고
구하지 않은 이유도 모른 채 멈춰버린 시간 속에

하얀 슬픔으로 피어나는 눈물의 목련이여
다시 가슴으로 살아오는 사월의 바다여


눈물로 피맺힌 이들 가슴에 서러움을 새기고
구하지 않은 이유도 모른 채 멈춰버린 시간 속에

하얀 슬픔으로 피어나는 눈물의 목련이여
다시 가슴으로 살아오는 사월의 바다여

다시 가슴으로 살아오는 사월의 바다여"
15,단아한 고백,서정,"그리움 가득 찬 이 밤
적적한 노래를 듣다
다소곳이 앉은 당신
뒷모습을 생각해요

넌 마치 별을 따러 간
사람의 고귀한 마음
나비 한 마리가 앉아
있어도 어울리겠어요

나는 사랑과 애정을 혼동하지 않아요
진심을 알아차려요
부디 사랑과 애정을 혼동하지 말아요
나의 마음은 뭘 것 같나요

나는 햇살도, 빗방울도, 새하얀 눈송이도
당신이 가장 좋아했던 날씨가 될 수 있어
시린 밤 지나고 내가 손을 내밀면
머금은 옅은 미소와 살포시 잡은 두 손

나는 사람과 마음을 같이 보지 않아요
진실을 알아차려요
부디 사람과 마음을 같이 보지 말아요
나의 마음은 뭘 것 같나요

나는 햇살도, 빗방울도, 새하얀 눈송이도
당신이 가장 좋아했던 날씨가 될 수 있어
시린 밤 지나고 내가 손을 내밀면
머금은 옅은 미소와 살포시 잡은 두 손

봄이 참 오랜만에 찾아왔으니
예쁜 마음으로 산책을 나갑시다
미친 일들에 마음을 뺏기지 말구요
난 이제 당신 하나만 믿을래요"
16,우리만의 봄이 올 테지,유얼메이트,"시간 어때 이따 뭐해 오늘 걷지 않을래 우리
바쁘진 않아 오늘 걷지 않을래

꽃잎에 적어볼 게 나의 살랑 또 불어온 마음을
조금씩 요즘 나의 살랑 불어온 마음을 가득히 담아

봄 눈이 내리고 발걸음 하나둘 새겨 놓으면
봄 눈 그 위로 발걸음 하나둘 새겨 놓으면

쌓여진 마음 위로 둘만의 꽃 피어오를 테니
한 아름 우릴 닮은 둘만의 꽃 피어오를 테니

따스한 낮 눈 부신 햇살 두 손 잡고 있네 우리
어느새 슬쩍 두 손 잡고 있네

거리 안 사랑 가득 마치 우리 둘의 노래 같아
이 노랜 꼭 마치 우리의 노래 같아

모두 완벽해

봄 눈이 내리고 발걸음 하나둘 새겨 놓으면
봄 눈 그 위로 발걸음 하나둘 새겨 놓으면

쌓여진 마음 위로 둘만의 꽃 피어오를테니
한 아름 우릴 닮은 둘만의 꽃 피어오를테니

지금 불어온 바람은
여기 온 이 바람은

오늘 이 마음 안 걸까 혹시
우리 마음을 안 걸까 혹시

날이 좋던데

봄 눈이 내리고 발걸음 하나둘 새겨 놓으면
봄 눈 그 위로 발걸음 하나둘 새겨 놓으면

쌓여진 마음 위로 둘만의 꽃 피어오를테니
한 아름 우릴 닮은 둘만의 꽃 피어오를테니

우리만의 봄이 올테지"
17,풀 뜯어 먹는 육식동물 (I Love Panda),이지선,"오오 나는 풀을 뜯어 먹는 육식 동물이에요
오오 나는 풀이 좋아요
오오 나는 더 이상 친구를 해치고 싶지 않아요
오오 나는 풀을 뜯어 먹는 육식 동물이에요

오오 나는 너와 친구가 되고 싶은 동물이에요
오오 나는 들판의 양들과 함께 뛰놀고 싶어요
오오 나는 너와
풀을 뜯어 먹는 육식 동물이에요

나는 그저
너와 친구가 되고 싶었을 뿐인데
(날 보고 두려워 떠나지 마)
우리 같이 뛰놀자

오오 나는 네게 사랑을 주고 싶은 동물이에요
오오 나는 네가 좋아요
오오 나는 더 이상 친구를 잃고 싶지가 않아요
오오 나는 풀을 뜯어 먹는 육식 동물이에요"
18,Really Like You (Spring Version),규빈,"오늘 기분은 맑음
구름 한 점도 없이 Fly high
저 멀리 다가오는
너에게 인사를 건네 Say hi

내 맘에 피어오른 보랏빛의 바이올렛
봄 향기처럼 불어와 내리는 꽃비처럼
Falling & Fall in love
You know what to say
너에게 말할래 ‘사실은 너를‘

I like you 처음 본 순간
I wanna you
Oh be my (I really like)
For you 서툰 맘이라도
너에게 전할래 ‘사실은 너를’
I really like you

Oh why 내 맘이 왜이래
I know why 네 맘은 어때
조심스럽게
I just wanna fall in you

너로 가득 채워진 맘
한가득 담아 네게 줄게
Woo 쏟아져 내리는 Starlight

너와 나 둘만 주고받을 수 있는 Signal
널 닮은 구름이 지나가는 저 하늘처럼
Falling & Fall in love
You know what to say
나에게 말해줘 ‘사실은 너를’

I like you 처음 본 순간
I wanna you
Oh be my (I really like)
For you 서툰 맘이라도
너에게 전할래 ‘사실은 너를’
I really like you

해 진 하늘 위 Twinkle Star
유난히 반짝여 널 만나기 전
떨리는 이 맘 안고 눈을 뜨면
너에게 말할 거야
I really really like you

With you 지금 이 순간
I’m only you
내 세상을 너에게 줄게
Are you ready for love?
같이 떠나 볼래?
You 내 손을 잡아

수줍게 건네본 고백
너와 나 우리로 이뤄진 Love
말없이 잡아준 손에
나의 맘 가득히 채워진 Love
I really like you"
19,몸치,다음,"생각대로 가는 게 뭐가 그리 어려워
마음대로 뛰는 게 뭐가 그리 어려워

많은 사람들이 너를 찾는다해도
잽싸게 숨어버리면 그만인 것을

하지 못할 말들이 뭐가 그리 어려워
하고 싶은 말들은 뭐가 그리 어려워

많은 일들이 너를 몰아붙인다해도
잽싸게 도망가버리면 그만인 것을

말이야 생각이야 뭐든 가능하지만
내 맘은 몸치라서 방향을 몰라
아무리 말해줘도 생각을 곱씹어도
내 몸은 몸치야 내 맘은 몸치야

나는 몸치야 그래 몸치야
나는 몸치야 그래 몸치야

생각대로 하는 건 너무 몰라 어려워
마음대로 노는 건 또 벅차 놀라워

내 안에 누군가가 나를 나무란대도
흥대로 춤춰버리면 그만인 것을 몰랐네
(어느 누가 내 맘을 탓하던가
어느 누가 내 맘을 탐하는 가)

말이야 생각이야 뭐든 가능하지만
내 맘은 몸치라서 방향을 몰라
아무리 말해줘도 생각을 곱씹어도
내 몸은 몸치야 내 맘은 몸치야

나는 몸치야 그래 몸치야
나는 몸치야 그래 몸치야"
20,비 오는 카페 (Prod. by 한인구),강한솔,"햇살이 따스한 거리를 걸어
유난히 가벼운 나의 발걸음
왠지 기분 좋은 날

예고 없이 내리는 비에
어깨가 젖어도 마냥 좋은 걸
rainy day

햇살이 따스한 거리를 걸어
시원한 바람이 부네
유난히 가벼운 나의 발걸음
왠지 기분 좋은 날

비와 함께 찾아온 카페
커피를 마시며 듣는 빗소리
창문에 비친 무지개 oh rainy day"
21,모두 가져가라고,나무이젠(이정남:Namoo Lee J.N),"내마음이 슬픈 날에는
마음을 나무가지에 걸어두고
내마음이 아픈 날에는
마음을 저 구름에 올려두고
바람에 날아가게
빗물에 씻겨가게
두리라 두리라
이 슬픔을 이 아픔을
모두 가져가라고
라라 라라라라라
라라 라라라라라
라라라 라라라
라라 랄랄 라라리라 우
라라 라라라라라
라라 라라라라라
모두 가져가라고

내마음이 쓸쓸한 날에는
마음을 바다위에 띄워두고
내마음이 힘든 날에는
마음을 저 허공에 던져두고
파도가 가져가게
세월이 가져가게
두리라 두리라
이 쓸쓸함 이 힘듦을
모두 가져가라고
라라 라라라라라
라라 라라라라라
라라라 라라라
라라 랄랄 라라리라 우
라라 라라라라라
라라 라라라라라
모두 가져가라고
모두 가져가라고"
22,술시 (Drunken Time) (서혁신 Ver.),취미인간,"차가운 밤공기 한 모금
따듯한 술 한 잔 생각이 나
쓰디쓴 술 한 잔 내 맘을 적시니
지난날이 떠올라

슬픔과 기쁨의 그 사이 어디쯤
너와 내가 함께 있는데
함께 울고 함께 웃던 너는
지금 어디쯤인지

행복했던 그날들을
곱씹어서 생각해 보니
밀려오는 아픔들이
내 마음을 저미네


행복했던 그날들을
곱씹어서 생각해 보니
밀려오는 아픔들이
내 마음을 저미네

담배연기 한 모금에
아름다운 추억들을 날리고
타다 남은 재속에는
아픔만이 남았네

타다 남은 재속에는
그리움만 남았네"
23,어떻게,구오,"창가에 비춘 너의 색은
빛을 다 끌어안고서
맘을 멀게 한 눈부심은
식을 줄을 몰라

내 숨이 다 너를 향했던 밤
영원이 바람이 됐던 순간
비밀스런 그 마음 내 것이 된 그 떨림
어떻게 떠올리지 않겠어

시선을 이끈 너의 선은
올라야만 할 꿈 같아
속삭이듯 한 부드러움
놓고 싶지 않아

내 숨이 다 너를 향했던 밤
영원이 바람이 됐던 순간
비밀스런 그 마음 내 것이 된 그 떨림
어떻게 떠올리지 않겠어"
24,지금 뭐 해? (Instagram Love),심각한 개구리,"오늘은 내가 먼저 연락해 볼까
하루 종일 핸드폰만 붙잡고 있는데
너는 지금 바쁜가 봐
내가 올린 스토리 하나 못 보고 뭐 하고 있는지

원래는 아무 생각도 없었는데
그냥 친한 오빠 동생 같은 사이였는데
나는 지금 초조한가 봐
알람 울리지도 않았는데 널 또 보고 있잖아

너 지금 뭐 해?
혹시나 내가 연락한 게 부담이 되진 않을까
그런 거 아니야 라고 말해줬음 정말 좋겠어
사실 너도 내가 다가와 주길 기다렸다고

오늘은 내가 먼저 연락해 볼까
항상 먼저 연락해 줬었는데
하루가 매일이 돼 반복되니까 나도 몰래
살며시 내 맘에 들어온 거야

너 지금 뭐 해?
혹시나 내가 연락한 게 부담이 되진 않을까
그런 거 아니야 라고 말해줬음 정말 좋겠어
사실 너도 내가 다가와 주길 기다렸다고

너무 금방인 거 아닐까 내 마음 전부 표현하기엔
별것도 아닌 뭐 하고 있냐는 말 한마디 하는 게
뭐 이렇게 힘이 드는지

안되겠어 너 지금 어디야
내 마음 감추기엔 이미 난 너를 너무 좋아해
나도 그래 라고 말해줬음 정말 좋겠어
사실 너도 내가 고백해 주길 기다렸다고

이제 우리 손잡고 걸을까
바람 좋은 날 나들이 갈까
흰 구름 보러 산책 나갈까
너와 함께라면

오늘은 내가 먼저 연락해볼까
오늘은 내가 먼저 연락해볼까"
25,꽃자리,투어리스트,"어느 틈 피어난
이름 모를 꽃 같은 넌
겨울 끝 봄처럼
내 마음을 틔우고
(Na Ohh oh oh
Na Ohh oh oh)

아물지 못한 밤
아무렇듯 텅 비워둔 곳
나조차 잊은 날
찾아와 준 낯선 한 여행자

한동안을 맴돌다
우연히 앉은 홀씨가
그 자리 위에 꽃을 피우듯

넌 메말랐던 나의 마음
그 사이 틈에 돋아나
날 채워가는 중
Ohh oh oh oh
Ohh oh oh oh

향기로운 바람
물결치는 설레는 꿈들
내 안은 널 만나
꽃바다가 됐어

한동안을 맴돌다
우연히 앉은 홀씨가
그 자리 위에 꽃을 피우듯

넌 메말랐던 나의 마음
그 사이 틈에 돋아나
날 채워가는 중
Ohh oh oh oh
Na Ohh oh oh
Na Ohh oh oh
Na Ohh oh oh

어느 틈 피어난
한 송이의 꽃 같은 넌
나의 봄"
26,시소,신윤수,"너는 날 종종 품에 안고서
가득 찬 얼굴을 내게 보이곤 해
그럴 때마다 난 무심한 표정으로
내 반복된 마음을 되려 탓하곤 해

사라지지 않을 너를 향한 이유를
전부 셀 수는 없지만
꼭 보이지 않아도 돼
만질 수 없어도
늘 우린 서로를 들킬 거야

나는 늘 맞은편에 앉아
널 이해할 수 없이 사랑해
그렇게 사랑해
괜찮아 네 마음이 무거워지면
그땐 좀 더 높이 올려 줄게

사라지지 않을 너를 향한 이유를
전부 셀 수는 없지만
꼭 보이지 않아도 돼
만질 수 없어도
늘 우린 서로를 들킬 거야

나는 늘 맞은편에 앉아
널 이해할 수 없이 사랑해
그렇게 사랑해
괜찮아 네 마음이 무거워지면
그땐 좀 더 높이 올려 줄게"
27,튜링테스트,엔타임즈,"내게 던져졌던 수많은 물음표 속에
나는 찾고 있지 빛나는 느낌표 하나

뭘 물어봐 또또 물어봐 question
mark속에 갇힌 나의 quest
더 정확히 더더 완벽히
숨막히는 나의 duty (no freedom)

쉴 틈 없이 달리는 마라톤
빈 틈 없는 흑과 백의 모노톤
어깨 위에 스트레스 like a-ton
쉴 새 없이 run하는 python
빈 틈 없는 0과 1의 모노톤
버그 위에 알고리즘 like a-code

내게 던져졌던 수많은 물음표 속에
나는 발견했지 빛나는 느낌표 하나
이제 나아갈래 내가 원하는대로
내가 가는 게 곧 길이지 뭐 있겠어

쉴 틈 없이 달리는 마라톤
빈 틈 없는 흑과 백의 모노톤
어깨 위에 스트레스 like a-ton
쉴 새 없이 run하는 python
빈 틈 없는 0과 1의 모노톤
버그 위에 알고리즘 like a-code

내게 던져졌던 수많은 물음표 속에
나는 발견했지 빛나는 느낌표 하나
이제 나아갈래 내가 원하는대로
내가 가는 게 곧 길이지 뭐 있겠어

이제 찾은 나의 본캐
이젠 필요해 나의 부캐
레벨업 하는거야
빠밤빰빰빰
부르는거야 케미스트리 랩소디

고장나버린 나의 cpu
이젠 필요해 너의 cpr
걸리긴 싫어
버퍼링가링가링
살아보는거야 보헤미안 랩소디

내게 던져졌던 수많은 물음표 속에
나는 발견했지 빛나는 느낌표 하나
이제 나아갈래 내가 원하는대로
내가 가는 게 꽃 길이지 뭐 있겠어
내가 가는 게 꽃 길이지 뭐 있겠어"
28,늘,윤영로,"늘 당신은 언제나 당신은 언제나
끝 끝없는 숲처럼 우리를 숨쉬게
숨쉬게 해주었지
세상은 쳇바퀴 바쁘게 가지만
세상이 더이상 나쁘지 않았으면
좋겠다 좋겠다고
세상은 쳇바퀴 바쁘게 가지만
세상이 더 이상 나쁘지 않았으면
좋겠다 좋겠다고
늘 당신은 언제나 당신은 언제나
끝 끝없는 숲처럼 우리를 숨쉬게
숨쉬게 해주었지
우리가 이렇게 말하게 해주었지."
29,The Galaxy,알레프 (ALEPH),"Hit the road
To the land unknown
Under the guiding star
Under the changing of the moon

Night birds through their golden eyes
Watching the baby boy
Then flying back to the open sky

The galaxy and the proclaiming love
They burn away
With a flame and explode
And the skies are new
As those powers interchange
And the glory of love unfolds

A little boy
Above the natural law
Has been calling home
Well, the world is already in his hand

So, fill my soul
With thy divine energy
I’m Superman
I’m fighting those demons in the space

The galaxy and the proclaiming love
They burn away
With a flame and explode
And the skies are new
As those powers interchange
And the glory of love unfolds

The galaxy and the proclaiming love
They burn away
With a flame and explode
And the skies are new
As those powers interchange
And the glory of love unfolds"
30,넌 나의 봄 같아 (Feat. 마리탱),망고팔트 (MangoPhalt),"햇살 좋은 캠퍼스
따뜻하게 불어온
봄바람에 사랑도
실려 왔나 봐 Yeah
꽃향기 가득한
너랑 함께 있으면 그게
사랑인가 봐
날씨도 좋은데
우리 커피 한잔 마실까
살랑거리는 내 맘
사랑이 가득한 내 맘
어떡하죠
널 처음 봤을 때
내 맘속엔 이미 봄이 와
벚꽃이 피었나 봐
부끄러워 말 못 하다 놓칠까
좋아한다고
봄기운에 먼저 고백할까 봐
흩날리는 꽃잎에
작은 내 맘을 담아
바람에 가득 실어 보낼까 Yeah
햇살보다 눈부셔
밤하늘의 별 보다 예뻐
넌 나의 봄 같아
날씨도 좋은데
우리 커피 한잔 마실까
살랑거리는 내 맘
사랑이 가득한 내 맘
어떡하죠
널 처음 봤을 때
내 맘속엔 이미 봄이 와
벚꽃이 피었나 봐
부끄러워 말 못 하다 놓칠까
좋아한다고
봄기운에 먼저 고백할까 봐
난 너에게 취해
조금씩 조금씩
빠져들었어
두근두근 널 향한 내 맘이
매일 한 걸음씩 커져서
사랑이 됐나 봐
니가 있어
내 생에 가장 예쁜
봄이 왔나 봐
오직 한사람 너만 사랑해
Yeah
따뜻한 봄 향기
가득한 오늘 이따
내 맘 전하고 싶어"
31,시간에게,조동희,"뭔가 잘 안풀릴 때면
세상 탓만 하던 시절
나의 핑계는 매일 새로워

높은 담 앞에서
작은 문도 찾지 못한 채로
그저 몸을 잔뜩 웅크리며

나 시간에게 고백해
오직 그대가 날 만들었음을
난 세상을 사랑해
아직 한번도 쉬운 적은 없었지만

시간만이 답을 주었네
슬픔만이 기쁨을 알게 했네
서툴렀던 나를 안아줘
그 어떤 모습도 모두 나였으니

사랑은 쉽지 않고
남들은 내 맘 같지않고
오늘은 다시 어제와 같아

별일 없는 삶이
재미없게 느껴진다 해도
우린 오늘 위에
이렇게 살아있잖아

나는 그저 노래해
주어진 삶을 모두 그러안으며
이 세상은 빛나네
작은 고마움을 적어가다 보면

사랑만이 힘을 주었네
주는 것은 잃는 것이 아니야
흙탕물은 그냥 내버려둬
차차 가라앉아 맑아질 테니

나 시간에게 고백해
오직 그대가 날 만들었음을
난 세상을 사랑해
아직 한번도 쉬운 적은 없었지만

시간만이 답을 주었네
슬픔만이 기쁨을 알게 했네
서툴렀던 나를 안아줘
그 어떤 모습도 모두 나였으니"
32,우린 나무처럼,신하늘,"축 쳐진 너의 어깨
오늘도 힘들었었니
쉬었다가도 괜찮아
넘어져도 다 괜찮아
내가 너의 힘이 되리
내가 너의 빛이 되리
무거운 발걸음
무거운 어깨 위의 짐
잠시 내려 놔두되
너의 손 잡아줄게
힘들 땐 내게 기대
든든한 나무가 돼줄게
더 이상 혼자 울지 않아도 돼
소리 내 울어도 돼
니 탓이 아니었잖아
애써 참지 않아도 돼
무거운 발걸음
무거운 어깨 위의 짐
잠시 내려놓아도 돼"
